age,gender,qualification,employability_status,years_of_experience,location,field_of_study,skills,training_courses_completed,employment_rate,unemployment_rate
27,Non-binary,No Qualification,Unemployable,4,Urban,Arts,Networking,1,48.53333333333333,51.46666666666667
19,Male,Degree,Employable,10,Urban,Management,Research,0,48.53333333333333,51.46666666666667
21,Male,No Qualification,Unemployable,2,Rural,Arts,AutoCAD,0,48.53333333333333,51.46666666666667
28,Female,Diploma,Employable,8,Rural,Arts,Research,0,48.53333333333333,51.46666666666667
18,Female,No Qualification,Unemployable,9,Urban,Engineering,None,1,48.53333333333333,51.46666666666667
28,Male,Postgraduate,Unemployable,10,Rural,Science,Basic Accounting,5,48.53333333333333,51.46666666666667
18,Male,No Qualification,Employable,9,Urban,IT,Leadership,4,48.53333333333333,51.46666666666667
30,Female,Matric,Unemployable,3,Urban,Arts,Research,0,48.53333333333333,51.46666666666667
19,Non-binary,No Qualification,Unemployable,3,Rural,Management,None,5,48.53333333333333,51.46666666666667
19,Non-binary,Matric,Employable,3,Urban,IT,Project Management,0,48.53333333333333,51.46666666666667
34,Non-binary,Postgraduate,Employable,6,Rural,Social Sciences,Research,5,48.53333333333333,51.46666666666667
18,Non-binary,Matric,Employable,0,Rural,Education,Networking,4,48.53333333333333,51.46666666666667
21,Male,No Qualification,Employable,5,Rural,Engineering,Networking,2,48.53333333333333,51.46666666666667
26,Non-binary,Postgraduate,Employable,6,Urban,Law,Project Management,1,48.53333333333333,51.46666666666667
22,Female,Postgraduate,Employable,7,Urban,Healthcare,None,1,48.53333333333333,51.46666666666667
35,Non-binary,Degree,Unemployable,7,Urban,Commerce,Networking,3,48.53333333333333,51.46666666666667
22,Non-binary,Postgraduate,Unemployable,9,Urban,Science,AutoCAD,5,48.53333333333333,51.46666666666667
30,Male,Degree,Unemployable,8,Urban,Healthcare,AutoCAD,0,48.53333333333333,51.46666666666667
24,Male,No Qualification,Employable,1,Rural,Science,Research,3,48.53333333333333,51.46666666666667
25,Male,Diploma,Employable,1,Rural,Law,Project Management,2,48.53333333333333,51.46666666666667
28,Non-binary,Degree,Unemployable,0,Urban,Commerce,Cybersecurity,5,48.53333333333333,51.46666666666667
26,Female,Diploma,Unemployable,6,Urban,Arts,Research,2,48.53333333333333,51.46666666666667
26,Male,Degree,Employable,3,Urban,Education,Basic Accounting,3,48.53333333333333,51.46666666666667
32,Non-binary,No Qualification,Employable,7,Rural,IT,Programming,5,48.53333333333333,51.46666666666667
32,Female,Degree,Employable,1,Rural,Education,Research,5,48.53333333333333,51.46666666666667
22,Non-binary,Degree,Employable,6,Rural,Education,Cybersecurity,3,48.53333333333333,51.46666666666667
22,Male,Postgraduate,Unemployable,10,Urban,Education,Teaching,0,48.53333333333333,51.46666666666667
35,Female,Degree,Unemployable,10,Rural,Social Sciences,Networking,5,48.53333333333333,51.46666666666667
28,Female,Degree,Unemployable,9,Urban,Healthcare,Research,0,48.53333333333333,51.46666666666667
31,Male,No Qualification,Employable,10,Rural,Arts,Leadership,5,48.53333333333333,51.46666666666667
18,Non-binary,Postgraduate,Employable,0,Rural,Commerce,Leadership,2,48.53333333333333,51.46666666666667
31,Male,No Qualification,Unemployable,10,Urban,IT,AutoCAD,2,48.53333333333333,51.46666666666667
30,Non-binary,Matric,Employable,0,Rural,IT,Programming,2,48.53333333333333,51.46666666666667
26,Female,Postgraduate,Employable,2,Rural,Healthcare,AutoCAD,5,48.53333333333333,51.46666666666667
35,Non-binary,Matric,Unemployable,4,Rural,IT,AutoCAD,0,48.53333333333333,51.46666666666667
30,Female,No Qualification,Unemployable,2,Rural,Arts,Basic Accounting,2,48.53333333333333,51.46666666666667
18,Male,Diploma,Unemployable,8,Urban,Science,Networking,3,48.53333333333333,51.46666666666667
19,Male,Diploma,Employable,0,Rural,Healthcare,AutoCAD,4,48.53333333333333,51.46666666666667
27,Non-binary,Postgraduate,Unemployable,6,Urban,Science,None,1,48.53333333333333,51.46666666666667
35,Female,Diploma,Unemployable,2,Rural,IT,Project Management,2,48.53333333333333,51.46666666666667
32,Female,Matric,Employable,4,Urban,Education,Networking,0,48.53333333333333,51.46666666666667
24,Male,Degree,Employable,2,Urban,Arts,Cybersecurity,3,48.53333333333333,51.46666666666667
29,Female,Diploma,Employable,8,Rural,Healthcare,Programming,3,48.53333333333333,51.46666666666667
25,Male,No Qualification,Employable,9,Urban,Education,Cybersecurity,2,48.53333333333333,51.46666666666667
22,Female,Postgraduate,Unemployable,3,Urban,Arts,Cybersecurity,0,48.53333333333333,51.46666666666667
29,Female,Diploma,Employable,2,Urban,Management,Basic Accounting,1,48.53333333333333,51.46666666666667
23,Female,Diploma,Unemployable,10,Urban,Engineering,AutoCAD,2,48.53333333333333,51.46666666666667
25,Female,Diploma,Employable,10,Rural,IT,Programming,5,48.53333333333333,51.46666666666667
28,Male,Postgraduate,Employable,8,Rural,IT,Networking,3,48.53333333333333,51.46666666666667
23,Non-binary,Postgraduate,Unemployable,10,Urban,Engineering,AutoCAD,3,48.53333333333333,51.46666666666667
30,Non-binary,No Qualification,Unemployable,8,Rural,Management,None,5,48.53333333333333,51.46666666666667
21,Male,Degree,Employable,10,Rural,Arts,Teaching,0,48.53333333333333,51.46666666666667
20,Female,Matric,Unemployable,1,Urban,IT,Leadership,4,48.53333333333333,51.46666666666667
19,Male,Degree,Unemployable,5,Urban,Commerce,Programming,0,48.53333333333333,51.46666666666667
18,Non-binary,Postgraduate,Unemployable,2,Urban,Law,Programming,2,48.53333333333333,51.46666666666667
35,Non-binary,Matric,Unemployable,10,Rural,Management,Cybersecurity,3,48.53333333333333,51.46666666666667
29,Non-binary,Postgraduate,Unemployable,9,Rural,Arts,Leadership,0,48.53333333333333,51.46666666666667
22,Female,Matric,Employable,8,Urban,Healthcare,Cybersecurity,2,48.53333333333333,51.46666666666667
35,Female,Diploma,Unemployable,10,Urban,Education,Leadership,1,48.53333333333333,51.46666666666667
25,Non-binary,Degree,Unemployable,2,Rural,Arts,Leadership,3,48.53333333333333,51.46666666666667
20,Female,Matric,Employable,7,Rural,IT,Cybersecurity,1,48.53333333333333,51.46666666666667
18,Non-binary,No Qualification,Employable,4,Urban,Arts,AutoCAD,1,48.53333333333333,51.46666666666667
30,Non-binary,Degree,Employable,5,Urban,Commerce,Cybersecurity,5,48.53333333333333,51.46666666666667
34,Female,Matric,Unemployable,1,Rural,Engineering,Leadership,1,48.53333333333333,51.46666666666667
24,Non-binary,Matric,Employable,8,Urban,Law,Teaching,2,48.53333333333333,51.46666666666667
35,Female,Degree,Employable,9,Urban,Commerce,AutoCAD,4,48.53333333333333,51.46666666666667
24,Female,Matric,Employable,6,Rural,Science,Networking,3,48.53333333333333,51.46666666666667
30,Non-binary,No Qualification,Unemployable,10,Urban,Social Sciences,AutoCAD,3,48.53333333333333,51.46666666666667
29,Female,Diploma,Employable,4,Urban,IT,None,0,48.53333333333333,51.46666666666667
31,Non-binary,Matric,Employable,0,Rural,Science,Teaching,4,48.53333333333333,51.46666666666667
27,Female,No Qualification,Unemployable,5,Urban,IT,Basic Accounting,1,48.53333333333333,51.46666666666667
33,Non-binary,Diploma,Employable,6,Rural,Education,Basic Accounting,4,48.53333333333333,51.46666666666667
34,Male,Diploma,Unemployable,9,Urban,Commerce,AutoCAD,0,48.53333333333333,51.46666666666667
28,Non-binary,Degree,Unemployable,1,Rural,Education,AutoCAD,0,48.53333333333333,51.46666666666667
20,Female,Degree,Unemployable,5,Urban,Healthcare,Networking,5,48.53333333333333,51.46666666666667
34,Male,Postgraduate,Employable,8,Urban,Arts,None,2,48.53333333333333,51.46666666666667
22,Male,Diploma,Unemployable,10,Urban,Engineering,AutoCAD,2,48.53333333333333,51.46666666666667
31,Female,Diploma,Employable,8,Urban,Law,AutoCAD,1,48.53333333333333,51.46666666666667
32,Male,No Qualification,Unemployable,7,Rural,Healthcare,None,2,48.53333333333333,51.46666666666667
24,Male,Matric,Employable,9,Rural,Healthcare,Basic Accounting,4,48.53333333333333,51.46666666666667
20,Female,Postgraduate,Unemployable,6,Rural,Healthcare,Leadership,3,48.53333333333333,51.46666666666667
18,Female,No Qualification,Employable,7,Urban,IT,Teaching,1,48.53333333333333,51.46666666666667
32,Female,No Qualification,Unemployable,6,Urban,IT,Networking,0,48.53333333333333,51.46666666666667
25,Non-binary,No Qualification,Employable,8,Rural,Management,Leadership,0,48.53333333333333,51.46666666666667
19,Non-binary,Postgraduate,Unemployable,0,Rural,Engineering,None,3,48.53333333333333,51.46666666666667
30,Non-binary,Matric,Unemployable,1,Rural,Engineering,Cybersecurity,0,48.53333333333333,51.46666666666667
22,Non-binary,No Qualification,Employable,8,Rural,Science,AutoCAD,2,48.53333333333333,51.46666666666667
35,Non-binary,Degree,Unemployable,5,Urban,Education,Leadership,5,48.53333333333333,51.46666666666667
27,Non-binary,Degree,Employable,0,Rural,Arts,Basic Accounting,3,48.53333333333333,51.46666666666667
35,Male,Postgraduate,Employable,9,Rural,Science,AutoCAD,3,48.53333333333333,51.46666666666667
33,Non-binary,Postgraduate,Employable,3,Rural,Education,Programming,1,48.53333333333333,51.46666666666667
29,Non-binary,Matric,Employable,6,Urban,Engineering,Project Management,1,48.53333333333333,51.46666666666667
22,Non-binary,Matric,Employable,7,Urban,Healthcare,Basic Accounting,2,48.53333333333333,51.46666666666667
18,Female,Postgraduate,Unemployable,2,Urban,IT,Teaching,1,48.53333333333333,51.46666666666667
31,Female,Matric,Unemployable,4,Rural,Commerce,Networking,4,48.53333333333333,51.46666666666667
20,Non-binary,Postgraduate,Unemployable,3,Rural,Engineering,Programming,2,48.53333333333333,51.46666666666667
22,Non-binary,Postgraduate,Unemployable,2,Urban,Science,Networking,5,48.53333333333333,51.46666666666667
20,Female,Degree,Employable,2,Rural,Engineering,Cybersecurity,2,48.53333333333333,51.46666666666667
33,Female,No Qualification,Unemployable,7,Rural,Social Sciences,Teaching,4,48.53333333333333,51.46666666666667
19,Non-binary,Degree,Employable,7,Rural,Healthcare,Basic Accounting,2,48.53333333333333,51.46666666666667
31,Non-binary,No Qualification,Unemployable,2,Urban,Commerce,Project Management,4,48.53333333333333,51.46666666666667
30,Female,Postgraduate,Employable,4,Rural,Engineering,Programming,0,48.53333333333333,51.46666666666667
24,Female,Matric,Unemployable,6,Urban,Education,Research,0,48.53333333333333,51.46666666666667
26,Female,Postgraduate,Employable,7,Urban,Healthcare,Programming,4,48.53333333333333,51.46666666666667
31,Male,Matric,Unemployable,3,Urban,Commerce,Leadership,1,48.53333333333333,51.46666666666667
33,Male,No Qualification,Unemployable,8,Urban,Commerce,Leadership,0,48.53333333333333,51.46666666666667
25,Female,Degree,Employable,3,Rural,Arts,None,0,48.53333333333333,51.46666666666667
19,Non-binary,No Qualification,Unemployable,2,Rural,Management,AutoCAD,2,48.53333333333333,51.46666666666667
25,Male,Postgraduate,Employable,1,Rural,Science,Teaching,1,48.53333333333333,51.46666666666667
29,Female,Diploma,Unemployable,3,Rural,Healthcare,AutoCAD,4,48.53333333333333,51.46666666666667
25,Female,Postgraduate,Unemployable,4,Urban,Science,Teaching,2,48.53333333333333,51.46666666666667
18,Non-binary,No Qualification,Unemployable,0,Rural,Healthcare,Project Management,0,48.53333333333333,51.46666666666667
23,Male,Diploma,Employable,10,Urban,Engineering,Networking,4,48.53333333333333,51.46666666666667
30,Non-binary,Postgraduate,Employable,3,Rural,Commerce,Programming,4,48.53333333333333,51.46666666666667
35,Female,Matric,Unemployable,1,Urban,Management,Cybersecurity,0,48.53333333333333,51.46666666666667
22,Male,Postgraduate,Unemployable,4,Rural,Healthcare,Project Management,2,48.53333333333333,51.46666666666667
26,Female,Degree,Unemployable,5,Urban,Commerce,Teaching,3,48.53333333333333,51.46666666666667
18,Female,Degree,Employable,9,Rural,IT,Research,5,48.53333333333333,51.46666666666667
24,Female,Diploma,Unemployable,10,Rural,Arts,Basic Accounting,5,48.53333333333333,51.46666666666667
23,Female,Matric,Employable,6,Rural,Social Sciences,Programming,0,48.53333333333333,51.46666666666667
21,Female,Matric,Employable,1,Urban,Management,Leadership,4,48.53333333333333,51.46666666666667
35,Male,Diploma,Employable,0,Rural,Engineering,None,2,48.53333333333333,51.46666666666667
20,Female,Diploma,Employable,0,Rural,Healthcare,AutoCAD,1,48.53333333333333,51.46666666666667
28,Non-binary,Diploma,Employable,3,Rural,Management,Programming,0,48.53333333333333,51.46666666666667
20,Non-binary,Matric,Unemployable,3,Urban,Healthcare,Networking,4,48.53333333333333,51.46666666666667
30,Non-binary,Postgraduate,Unemployable,9,Urban,Law,Leadership,1,48.53333333333333,51.46666666666667
28,Non-binary,Diploma,Unemployable,5,Rural,Arts,Teaching,1,48.53333333333333,51.46666666666667
29,Non-binary,Diploma,Employable,3,Urban,Commerce,Cybersecurity,2,48.53333333333333,51.46666666666667
22,Female,Degree,Unemployable,8,Urban,Engineering,Cybersecurity,3,48.53333333333333,51.46666666666667
33,Male,Postgraduate,Employable,1,Urban,Commerce,Research,2,48.53333333333333,51.46666666666667
33,Male,Postgraduate,Employable,1,Rural,Social Sciences,Project Management,4,48.53333333333333,51.46666666666667
35,Female,Matric,Employable,5,Urban,Law,Leadership,3,48.53333333333333,51.46666666666667
19,Female,Postgraduate,Employable,3,Urban,Science,Networking,5,48.53333333333333,51.46666666666667
23,Non-binary,Degree,Unemployable,5,Rural,IT,Project Management,0,48.53333333333333,51.46666666666667
30,Non-binary,Matric,Employable,8,Rural,Engineering,Cybersecurity,0,48.53333333333333,51.46666666666667
23,Non-binary,Diploma,Unemployable,5,Urban,IT,Cybersecurity,3,48.53333333333333,51.46666666666667
22,Female,Diploma,Unemployable,0,Urban,Commerce,AutoCAD,1,48.53333333333333,51.46666666666667
22,Female,Degree,Unemployable,2,Rural,Healthcare,Cybersecurity,1,48.53333333333333,51.46666666666667
20,Non-binary,Postgraduate,Employable,3,Urban,Law,AutoCAD,2,48.53333333333333,51.46666666666667
20,Male,Postgraduate,Employable,1,Rural,Healthcare,Basic Accounting,0,48.53333333333333,51.46666666666667
25,Male,Diploma,Unemployable,9,Urban,Arts,Programming,4,48.53333333333333,51.46666666666667
35,Non-binary,No Qualification,Unemployable,10,Rural,Social Sciences,Research,0,48.53333333333333,51.46666666666667
33,Non-binary,Diploma,Unemployable,9,Rural,Commerce,Cybersecurity,3,48.53333333333333,51.46666666666667
20,Female,Postgraduate,Employable,6,Urban,Social Sciences,Networking,0,48.53333333333333,51.46666666666667
33,Non-binary,Degree,Employable,0,Urban,Healthcare,Project Management,4,48.53333333333333,51.46666666666667
29,Female,No Qualification,Employable,6,Rural,Commerce,Leadership,3,48.53333333333333,51.46666666666667
28,Female,No Qualification,Unemployable,3,Rural,Social Sciences,Networking,3,48.53333333333333,51.46666666666667
26,Female,Diploma,Employable,4,Urban,Healthcare,None,0,48.53333333333333,51.46666666666667
26,Non-binary,Diploma,Employable,6,Urban,Healthcare,AutoCAD,5,48.53333333333333,51.46666666666667
18,Female,Degree,Unemployable,10,Urban,Engineering,AutoCAD,5,48.53333333333333,51.46666666666667
28,Female,Postgraduate,Employable,8,Rural,Engineering,None,1,48.53333333333333,51.46666666666667
24,Non-binary,No Qualification,Unemployable,1,Urban,Arts,Research,5,48.53333333333333,51.46666666666667
30,Non-binary,Matric,Unemployable,6,Rural,Healthcare,AutoCAD,1,48.53333333333333,51.46666666666667
26,Female,Postgraduate,Employable,7,Urban,Law,AutoCAD,3,48.53333333333333,51.46666666666667
33,Female,Postgraduate,Employable,6,Urban,Education,Programming,3,48.53333333333333,51.46666666666667
18,Male,Matric,Employable,9,Urban,Law,Programming,1,48.53333333333333,51.46666666666667
21,Male,Degree,Unemployable,3,Rural,Commerce,AutoCAD,1,48.53333333333333,51.46666666666667
25,Male,Diploma,Unemployable,1,Urban,Law,None,3,48.53333333333333,51.46666666666667
24,Female,Degree,Unemployable,6,Rural,Engineering,Programming,0,48.53333333333333,51.46666666666667
30,Male,No Qualification,Employable,9,Urban,Management,AutoCAD,5,48.53333333333333,51.46666666666667
23,Male,Postgraduate,Unemployable,3,Rural,Education,Research,1,48.53333333333333,51.46666666666667
19,Male,Diploma,Unemployable,6,Urban,Commerce,Basic Accounting,0,48.53333333333333,51.46666666666667
33,Female,Diploma,Unemployable,6,Urban,Engineering,Teaching,2,48.53333333333333,51.46666666666667
29,Male,Postgraduate,Unemployable,7,Urban,Management,Programming,2,48.53333333333333,51.46666666666667
29,Female,No Qualification,Unemployable,10,Rural,Science,Teaching,2,48.53333333333333,51.46666666666667
25,Non-binary,Degree,Employable,5,Urban,Law,Teaching,4,48.53333333333333,51.46666666666667
19,Non-binary,Diploma,Unemployable,8,Urban,Healthcare,Leadership,1,48.53333333333333,51.46666666666667
28,Male,Diploma,Employable,5,Urban,Law,Project Management,0,48.53333333333333,51.46666666666667
26,Female,Matric,Unemployable,8,Urban,Education,Teaching,3,48.53333333333333,51.46666666666667
29,Female,No Qualification,Employable,2,Rural,Arts,Cybersecurity,5,48.53333333333333,51.46666666666667
22,Non-binary,Matric,Unemployable,10,Urban,Commerce,Programming,2,48.53333333333333,51.46666666666667
31,Female,Postgraduate,Employable,10,Urban,Arts,None,2,48.53333333333333,51.46666666666667
29,Non-binary,Matric,Unemployable,0,Rural,Environmental Science,"Digital Marketing, IoT Development, Blockchain",2,48.53333333333333,51.46666666666667
27,Non-binary,Matric,Unemployable,1,Rural,Social Work,"Blockchain, Mobile App Development, SEO",9,48.53333333333333,51.46666666666667
38,Non-binary,Matric,Unemployable,2,Rural,Social Work,"Graphic Design, Financial Analysis, Mobile App Development",10,48.53333333333333,51.46666666666667
24,Non-binary,Matric,Unemployable,13,Rural,Architecture,"Content Writing, SEO, Cybersecurity",4,48.53333333333333,51.46666666666667
19,Non-binary,Matric,Unemployable,15,Rural,Marketing,"IoT Development, Financial Analysis, Mobile App Development",0,48.53333333333333,51.46666666666667
43,Male,No Qualification,Employable,2,Urban,Agriculture,"SEO, Digital Marketing, Cybersecurity",6,48.53333333333333,51.46666666666667
29,Male,No Qualification,Employable,2,Urban,Marketing,"Machine Learning, Cybersecurity, Content Writing",3,48.53333333333333,51.46666666666667
24,Male,No Qualification,Employable,15,Urban,Marketing,"Digital Marketing, Cloud Computing, Cybersecurity",4,48.53333333333333,51.46666666666667
35,Male,No Qualification,Employable,2,Urban,Agriculture,"Blockchain, Public Speaking, Cloud Computing",2,48.53333333333333,51.46666666666667
20,Male,No Qualification,Employable,5,Urban,Psychology,"SEO, Machine Learning, IoT Development",3,48.53333333333333,51.46666666666667
41,Male,Diploma,Unemployable,8,Rural,Finance,"Cybersecurity, Graphic Design, Cloud Computing",3,48.53333333333333,51.46666666666667
38,Male,Diploma,Unemployable,5,Rural,Education,"Public Speaking, Digital Marketing, Content Writing",0,48.53333333333333,51.46666666666667
23,Male,Diploma,Unemployable,5,Rural,Environmental Science,"Public Speaking, Machine Learning, Graphic Design",4,48.53333333333333,51.46666666666667
32,Male,Diploma,Unemployable,1,Rural,Social Work,"Content Writing, Financial Analysis, SEO",1,48.53333333333333,51.46666666666667
38,Male,Diploma,Unemployable,1,Rural,Finance,"Data Analysis, Human Resources, Machine Learning",0,48.53333333333333,51.46666666666667
37,Male,No Qualification,Employable,14,Urban,Psychology,"Time Management, Financial Analysis, Blockchain",1,48.53333333333333,51.46666666666667
39,Male,No Qualification,Employable,11,Urban,Finance,"IoT Development, SEO, Cybersecurity",4,48.53333333333333,51.46666666666667
35,Male,No Qualification,Employable,7,Urban,Computer Science,"Time Management, Cybersecurity, SEO",9,48.53333333333333,51.46666666666667
39,Male,No Qualification,Employable,1,Urban,Humanities,"SEO, Blockchain, Public Speaking",6,48.53333333333333,51.46666666666667
30,Male,No Qualification,Employable,10,Urban,Humanities,"IoT Development, Graphic Design, Digital Marketing",9,48.53333333333333,51.46666666666667
18,Male,Matric,Employable,8,Urban,Law,"Data Analysis, IoT Development, Machine Learning",7,48.53333333333333,51.46666666666667
